"country","a3_code","threshold","year","extent","type"
"Australia","AUS",10,"Mean",659111.28,"Tree coverage"
"Australia","AUS",30,"Mean",422805.99,"Tree coverage"
"Australia","AUS",50,"Mean",257197.1,"Tree coverage"
"Bangladesh","BGD",10,"Mean",26606.73,"Tree coverage"
"Bangladesh","BGD",30,"Mean",19389.58,"Tree coverage"
"Bangladesh","BGD",50,"Mean",15228.71,"Tree coverage"
"Brunei","BRN",10,"Mean",5339.81,"Tree coverage"
"Brunei","BRN",30,"Mean",5293.39,"Tree coverage"
"Brunei","BRN",50,"Mean",5237.36,"Tree coverage"
"Bhutan","BTN",10,"Mean",26791.73,"Tree coverage"
"Bhutan","BTN",30,"Mean",25772.35,"Tree coverage"
"Bhutan","BTN",50,"Mean",23664.73,"Tree coverage"
"China","CHN",10,"Mean",1890242.38,"Tree coverage"
"China","CHN",30,"Mean",1627485.96,"Tree coverage"
"China","CHN",50,"Mean",1313753.25,"Tree coverage"
"Comoros","COM",10,"Mean",1583.83,"Tree coverage"
"Comoros","COM",30,"Mean",1347.84,"Tree coverage"
"Comoros","COM",50,"Mean",1059.59,"Tree coverage"
"Fiji","FJI",10,"Mean",16505.45,"Tree coverage"
"Fiji","FJI",30,"Mean",15565.59,"Tree coverage"
"Fiji","FJI",50,"Mean",13953.42,"Tree coverage"
"Micronesia","FSM",10,"Mean",64.6,"Tree coverage"
"Micronesia","FSM",30,"Mean",61.72,"Tree coverage"
"Micronesia","FSM",50,"Mean",60.17,"Tree coverage"
"Indonesia","IDN",10,"Mean",1650987.35,"Tree coverage"
"Indonesia","IDN",30,"Mean",1606412.23,"Tree coverage"
"Indonesia","IDN",50,"Mean",1550633.52,"Tree coverage"
"India","IND",10,"Mean",490910.5,"Tree coverage"
"India","IND",30,"Mean",388303.51,"Tree coverage"
"India","IND",50,"Mean",304652.93,"Tree coverage"
"Japan","JPN",10,"Mean",272772.5,"Tree coverage"
"Japan","JPN",30,"Mean",263872.54,"Tree coverage"
"Japan","JPN",50,"Mean",255975.14,"Tree coverage"
"Cambodia","KHM",10,"Mean",101985.22,"Tree coverage"
"Cambodia","KHM",30,"Mean",88099.3,"Tree coverage"
"Cambodia","KHM",50,"Mean",74823.28,"Tree coverage"
"Sri Lanka","LKA",10,"Mean",42411.63,"Tree coverage"
"Sri Lanka","LKA",30,"Mean",39399.24,"Tree coverage"
"Sri Lanka","LKA",50,"Mean",35460.43,"Tree coverage"
"Madagascar","MDG",10,"Mean",331908.89,"Tree coverage"
"Madagascar","MDG",30,"Mean",171410.86,"Tree coverage"
"Madagascar","MDG",50,"Mean",122413.8,"Tree coverage"
"Maldives","MDV",10,"Mean",58.26,"Tree coverage"
"Maldives","MDV",30,"Mean",55.7,"Tree coverage"
"Maldives","MDV",50,"Mean",44.95,"Tree coverage"
"Myanmar","MMR",10,"Mean",450853.13,"Tree coverage"
"Myanmar","MMR",30,"Mean",428633.74,"Tree coverage"
"Myanmar","MMR",50,"Mean",397936.97,"Tree coverage"
"Mauritius","MUS",10,"Mean",1487.41,"Tree coverage"
"Mauritius","MUS",30,"Mean",713.05,"Tree coverage"
"Mauritius","MUS",50,"Mean",508.58,"Tree coverage"
"Malaysia","MYS",10,"Mean",297860.86,"Tree coverage"
"Malaysia","MYS",30,"Mean",294305.62,"Tree coverage"
"Malaysia","MYS",50,"Mean",289771.6,"Tree coverage"
"New Caledonia","NCL",10,"Mean",15977.89,"Tree coverage"
"New Caledonia","NCL",30,"Mean",14403.31,"Tree coverage"
"New Caledonia","NCL",50,"Mean",10513.41,"Tree coverage"
